OverallQual,TotalSF,LandContour,GarageCars,Heating,Functional,KitchenQual,Neighborhood,CentralAir,MSZoning,KitchenAbvGr,RoofMatl,Neighborhood,Fireplaces
7,2938,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
7,3854,HLS,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
6,2464,Lvl,2,GasA,Typ,TA,Veenker,Y,RL,1,CompShg,Veenker,0
9,4240,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,2
7,3082,Lvl,2,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
4,1764,Lvl,0,GasA,Typ,TA,OldTown,Y,RL,1,CompShg,OldTown,0
6,2765,Lvl,1,GasA,Typ,Gd,OldTown,Y,RM,1,CompShg,OldTown,0
5,1999,Lvl,0,GasA,Typ,TA,Edwards,Y,RL,2,CompShg,Edwards,0
5,3484,Lvl,1,GasA,Typ,TA,ClearCr,Y,RL,1,CompShg,ClearCr,3
8,3743,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,2560,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
8,3393,Lvl,2,GasA,Typ,TA,Timber,Y,RL,1,WdShake,Timber,1
5,1574,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,2736,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,2
7,2831,Lvl,2,GasA,Typ,Gd,StoneBr,Y,RL,1,CompShg,StoneBr,1
6,2724,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
6,3257,Lvl,2,GasA,Min2,TA,Timber,Y,RL,1,CompShg,Timber,1
6,3360,Lvl,2,GasA,Typ,Gd,Edwards,Y,RL,1,CompShg,Edwards,1
6,3211,Lvl,2,GasA,Typ,TA,ClearCr,Y,RL,1,CompShg,ClearCr,1
5,2972,Lvl,2,GasA,Typ,Gd,Sawyer,Y,RL,1,CompShg,Sawyer,1
9,4450,Lvl,3,GasA,Typ,Ex,StoneBr,Y,RL,1,CompShg,StoneBr,1
5,1936,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,2281,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
7,2595,Lvl,1,GasA,Typ,TA,Crawfor,Y,RL,1,CompShg,Crawfor,1
5,1340,Lvl,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,1
7,3444,Lvl,2,GasA,Mod,Gd,OldTown,Y,RM,1,CompShg,OldTown,0
5,1756,Lvl,2,GasA,Typ,TA,BrkSide,Y,RL,1,CompShg,BrkSide,0
10,4143,Lvl,3,GasA,Typ,Ex,OldTown,Y,RM,1,WdShngl,OldTown,2
7,2405,Lvl,2,GasA,Typ,Gd,Mitchel,Y,RL,1,CompShg,Mitchel,0
5,2172,Lvl,1,GasA,Min2,TA,OldTown,Y,RL,1,CompShg,OldTown,0
5,2310,Bnk,2,GasA,Typ,TA,SawyerW,Y,RL,2,CompShg,SawyerW,2
8,3186,Lvl,2,GasA,Typ,Ex,StoneBr,Y,RL,1,CompShg,StoneBr,1
8,3580,Bnk,2,GasA,Maj1,Gd,Crawfor,Y,RL,1,CompShg,Crawfor,2
7,2204,Lvl,2,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,0
7,2862,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
7,2679,Lvl,2,GasA,Maj1,Gd,Edwards,Y,RM,1,CompShg,Edwards,0
5,1728,Lvl,1,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2311,Lvl,2,GasA,Typ,TA,NPkVill,Y,RL,1,CompShg,NPkVill,1
7,3452,Lvl,3,GasA,Typ,Ex,Somerst,Y,RL,1,CompShg,Somerst,1
8,4080,Lvl,2,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,1
6,2613,Lvl,0,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
8,3426,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
4,2242,Lvl,2,GasA,Typ,TA,Edwards,Y,RM,1,CompShg,Edwards,0
6,2475,Lvl,2,GasA,Typ,TA,Mitchel,Y,RL,1,CompShg,Mitchel,2
6,1927,Lvl,1,GasA,Min1,TA,OldTown,Y,RL,1,CompShg,OldTown,0
6,1696,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RM,1,CompShg,CollgCr,1
5,2004,Lvl,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
7,2866,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,0
5,2836,Lvl,1,GasA,Min2,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
4,2200,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
7,3219,Low,2,GasA,Typ,TA,SawyerW,Y,RL,1,CompShg,SawyerW,1
6,2184,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
5,1728,Lvl,0,GasA,Typ,TA,Edwards,N,RL,1,CompShg,Edwards,0
6,2424,Lvl,2,GasA,Typ,Gd,Edwards,Y,RL,1,CompShg,Edwards,0
7,2752,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
5,1980,Lvl,2,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2081,Lvl,1,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
5,2306,Lvl,1,GasA,Min1,Gd,NAmes,Y,RL,1,CompShg,NAmes,1
7,2872,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
4,2014,Lvl,1,GasA,Typ,TA,OldTown,N,RM,1,CompShg,OldTown,0
7,2752,Lvl,2,GasA,Typ,Gd,Crawfor,Y,RL,1,CompShg,Crawfor,2
7,2496,Lvl,2,GasA,Typ,Gd,Blmngtn,Y,RL,1,CompShg,Blmngtn,0
7,2996,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,3277,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
6,2265,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
4,1728,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
10,4784,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
5,1932,Lvl,1,GasA,Typ,TA,BrDale,Y,RM,1,CompShg,BrDale,0
7,3723,Lvl,3,GasA,Typ,Gd,NoRidge,Y,RL,1,CompShg,NoRidge,1
6,1470,Lvl,1,GasA,Typ,TA,BrDale,Y,RM,1,CompShg,BrDale,0
5,1824,Lvl,1,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
7,2928,Lvl,2,GasA,Typ,Gd,Blmngtn,Y,RL,1,CompShg,Blmngtn,1
6,2388,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
8,4256,Lvl,3,GasA,Typ,Ex,NoRidge,Y,RL,1,CompShg,NoRidge,1
6,1470,Lvl,1,GasA,Typ,TA,BrDale,Y,RM,1,CompShg,BrDale,1
5,1788,Lvl,1,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2820,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,2
6,1470,Lvl,1,GasA,Typ,TA,BrDale,Y,RM,1,CompShg,BrDale,0
7,2828,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
7,2740,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
8,3388,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,0
6,2222,Lvl,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,1
8,3132,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
5,1552,Lvl,0,GasA,Typ,Gd,OldTown,Y,RM,1,CompShg,OldTown,0
5,1980,Lvl,1,GasA,Typ,TA,OldTown,N,RM,1,CompShg,OldTown,0
6,1843,Lvl,1,GasA,Typ,TA,SawyerW,Y,RL,1,CompShg,SawyerW,1
7,3058,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,2
7,3717,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
6,2948,Lvl,1,GasA,Typ,Fa,OldTown,N,RM,2,CompShg,OldTown,0
6,2742,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
7,2508,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,3588,Low,2,GasA,Typ,Gd,ClearCr,Y,RL,1,CompShg,ClearCr,2
3,2034,Lvl,0,GasA,Mod,Fa,BrkSide,Y,RL,1,CompShg,BrkSide,0
8,3198,HLS,2,GasA,Typ,Gd,Crawfor,Y,RM,1,CompShg,Crawfor,1
6,2438,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
6,2604,Lvl,1,GasA,Min1,Gd,NAmes,Y,RL,1,CompShg,NAmes,0
5,2628,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
7,3266,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
6,2592,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
7,3208,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
7,2755,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
5,882,Lvl,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,2744,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
8,4056,Lvl,3,GasA,Typ,Ex,CollgCr,Y,RL,1,CompShg,CollgCr,1
6,1718,Lvl,2,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
5,1852,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
5,1444,Bnk,2,GasA,Typ,TA,OldTown,N,RM,1,CompShg,OldTown,0
6,2844,Lvl,2,GasA,Typ,Gd,NWAmes,Y,RL,1,CompShg,NWAmes,1
6,2313,HLS,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,1
5,2492,Bnk,1,GasA,Typ,Gd,SWISU,Y,RL,1,CompShg,SWISU,1
5,1518,Lvl,1,GasA,Typ,TA,IDOTRR,Y,RM,1,CompShg,IDOTRR,1
6,2256,Lvl,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,1
8,3034,Lvl,3,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
7,2748,Low,2,GasA,Mod,TA,ClearCr,Y,RL,1,Membran,ClearCr,2
8,3422,Lvl,3,GasA,Typ,Gd,NoRidge,Y,RL,1,CompShg,NoRidge,1
6,2872,Lvl,1,GasA,Min1,TA,NAmes,Y,RL,1,CompShg,NAmes,1
5,1632,Lvl,1,GasA,Typ,TA,Mitchel,Y,RL,1,CompShg,Mitchel,0
7,2500,Lvl,2,GasW,Typ,Ex,BrkSide,N,RL,1,CompShg,BrkSide,0
7,3120,Lvl,2,GasA,Typ,Gd,Mitchel,Y,RL,1,CompShg,Mitchel,0
4,1728,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,0
